=== Q08a: municipio ativo x fonte (scraper_municipio_coleta), piores primeiro ===
pos_alfa|nome|fonte|ultima_coleta_brt|dias_desde_carimbo|tentativas|ultimo_erro_brt|qualidade|detalhe_pagina|ultimo_erro
3|Arcos|cagec|08-29 19:53|0.1|6|08-29 19:53|carimbo-em-erro|1|nenhuma entidade publica encontrada na consulta (nome sem match?)
27|Nova Lima|cagec|08-24 02:03|5.9|5|08-24 02:03|carimbo-em-erro|1|nenhuma entidade publica encontrada na consulta (nome sem match?)
41|Tocos do Moji|cagec|08-28 19:53|1.1|0|08-25 01:59|bom|1|
19|Igarapé|cagec|08-28 19:54|1.1|0|08-25 02:01|bom|1|
20|Igaratinga|cagec|08-28 19:55|1.1|0|08-25 02:03|bom|1|
42|Toledo|cagec|08-28 19:56|1.1|0|08-25 02:05|bom|1|
21|Iguatama|cagec|08-28 19:56|1.1|0|08-25 02:06|bom|1|
1|Arapuá|cagec|08-28 19:57|1.1|0|08-24 01:55|bom|1|
22|Itaguara|cagec|08-28 19:58|1.1|0|08-24 01:56|bom|1|
23|Japaraíba|cagec|08-28 19:59|1.1|0|08-24 01:58|bom|1|
2|Araújos|cagec|08-29 07:51|0.6|0|08-29 01:51|bom|1|
24|Lagoa Dourada|cagec|08-29 07:51|0.6|0|08-29 01:53|bom|1|
4|Bom Despacho|cagec|08-29 07:52|0.6|0|08-29 01:54|bom|1|
25|Martinho Campos|cagec|08-29 07:53|0.6|0|08-29 01:56|bom|1|
5|Bonfim|cagec|08-29 07:54|0.6|0|08-29 01:57|bom|1|
26|Moema|cagec|08-29 07:55|0.6|0|08-29 01:59|bom|1|
28|Nova Serrana|cagec|08-29 07:55|0.6|0|08-29 02:01|bom|1|
6|Camacho|cagec|08-29 07:56|0.6|0|08-29 02:03|bom|1|
7|Capela Nova|cagec|08-29 07:57|0.6|0|08-29 02:05|bom|1|
8|Caranaíba|cagec|08-29 07:58|0.6|0|08-28 01:56|bom|1|
9|Carandaí|cagec|08-29 07:59|0.6|0|08-28 01:57|bom|1|
29|Oliveira Fortes|cagec|08-29 13:50|0.4|0|08-28 01:59|bom|1|
10|Carmópolis de Minas|cagec|08-29 13:51|0.4|0|08-28 02:00|bom|1|
30|Papagaios|cagec|08-29 13:52|0.4|0|08-28 02:02|bom|1|
11|Casa Grande|cagec|08-29 13:52|0.4|0|08-28 02:03|bom|1|
31|Passa Tempo|cagec|08-29 13:53|0.4|0|08-28 02:05|bom|1|
12|Cláudio|cagec|08-29 13:54|0.4|0|08-28 02:06|bom|1|
32|Pequi|cagec|08-29 13:54|0.4|0|08-27 01:56|bom|1|
13|Conceição do Pará|cagec|08-29 13:55|0.4|0|08-27 01:57|bom|1|
34|Piracema|cagec|08-29 13:56|0.4|0|08-27 01:58|bom|1|
33|Perdigão|cagec|08-29 13:56|0.4|0|08-27 02:00|bom|1|
35|Santo Antônio do Monte|cagec|08-29 13:57|0.4|0|08-27 02:02|bom|1|
14|Córrego Danta|cagec|08-29 19:50|0.1|0|08-27 02:04|bom|1|
36|Senhora dos Remédios|cagec|08-29 19:51|0.1|0|08-27 02:06|bom|1|
37|São Brás do Suaçuí|cagec|08-29 19:52|0.1|0|08-26 01:58|bom|1|
15|Desterro de Entre Rios|cagec|08-29 19:53|0.1|0|08-26 02:00|bom|1|
38|São Francisco de Paula|cagec|08-29 19:54|0.1|0|08-26 02:01|bom|1|
16|Estrela do Indaiá|cagec|08-29 19:54|0.1|0|08-26 02:03|bom|1|
39|São Sebastião do Oeste|cagec|08-29 19:55|0.1|0|08-26 02:04|bom|1|
17|Heliodora|cagec|08-29 19:56|0.1|0|08-26 02:06|bom|1|
40|São Tiago|cagec|08-29 19:57|0.1|0|08-25 01:55|bom|1|
18|Ibitiúra de Minas|cagec|08-29 19:58|0.1|0|08-25 01:57|bom|1|
3|Arcos|sigcon|||||NUNCA||
6|Camacho|sigcon|||||NUNCA||
7|Capela Nova|sigcon|||||NUNCA||
8|Caranaíba|sigcon|||||NUNCA||
10|Carmópolis de Minas|sigcon|||||NUNCA||
11|Casa Grande|sigcon|||||NUNCA||
12|Cláudio|sigcon|||||NUNCA||
16|Estrela do Indaiá|sigcon|||||NUNCA||
17|Heliodora|sigcon|||||NUNCA||
18|Ibitiúra de Minas|sigcon|||||NUNCA||
19|Igarapé|sigcon|||||NUNCA||
22|Itaguara|sigcon|||||NUNCA||
27|Nova Lima|sigcon|||||NUNCA||
31|Passa Tempo|sigcon|||||NUNCA||
36|Senhora dos Remédios|sigcon|||||NUNCA||
40|São Tiago|sigcon|||||NUNCA||
41|Tocos do Moji|sigcon|||||NUNCA||
34|Piracema|sigcon|||58|08-08 15:04|carimbo-em-erro|1|login SIGCON nao completou (form nao submeteu ou credencial invalida)
30|Papagaios|sigcon|08-15 08:26|14.6|3|08-15 08:26|carimbo-em-erro|1|login SIGCON nao completou (form nao submeteu ou credencial invalida)
35|Santo Antônio do Monte|sigcon|08-15 08:26|14.6|3|08-15 08:26|carimbo-em-erro|1|login SIGCON nao completou (form nao submeteu ou credencial invalida)
26|Moema|sigcon|08-29 06:32|0.7|0||bom|1|
21|Iguatama|sigcon|08-29 06:41|0.7|0||bom|1|
29|Oliveira Fortes|sigcon|08-29 08:33|0.6|0||bom|1|
32|Pequi|sigcon|08-29 08:36|0.6|0||bom|1|
33|Perdigão|sigcon|08-29 08:45|0.6|0||bom|1|
38|São Francisco de Paula|sigcon|08-29 10:28|0.5|0||bom|1|
39|São Sebastião do Oeste|sigcon|08-29 10:36|0.5|0||bom|1|
42|Toledo|sigcon|08-29 10:45|0.5|0||bom|1|
2|Araújos|sigcon|08-29 11:04|0.5|0||bom|1|
28|Nova Serrana|sigcon|08-29 11:14|0.5|0||bom|1|
9|Carandaí|sigcon|08-29 12:34|0.4|0||bom|1|
13|Conceição do Pará|sigcon|08-29 12:44|0.4|0||bom|1|
4|Bom Despacho|sigcon|08-29 12:45|0.4|0||bom|1|
14|Córrego Danta|sigcon|08-29 14:39|0.3|0||bom|1|
1|Arapuá|sigcon|08-29 14:45|0.3|0|08-27 22:43|bom|1|
20|Igaratinga|sigcon|08-29 16:37|0.2|0||bom|1|
15|Desterro de Entre Rios|sigcon|08-29 16:42|0.2|0|08-29 16:38|bom|1|
23|Japaraíba|sigcon|08-29 16:45|0.2|0||bom|1|
24|Lagoa Dourada|sigcon|08-29 18:29|0.2|0||bom|1|
25|Martinho Campos|sigcon|08-29 18:40|0.2|0||bom|1|
5|Bonfim|sigcon|08-29 18:45|0.2|0|08-29 18:41|bom|1|
37|São Brás do Suaçuí|sigcon|08-29 20:45|0.1|0||bom|2|
3|Arcos|sigcon_emendas|||||NUNCA||
6|Camacho|sigcon_emendas|||||NUNCA||
7|Capela Nova|sigcon_emendas|||||NUNCA||
8|Caranaíba|sigcon_emendas|||||NUNCA||
10|Carmópolis de Minas|sigcon_emendas|||||NUNCA||
11|Casa Grande|sigcon_emendas|||||NUNCA||
12|Cláudio|sigcon_emendas|||||NUNCA||
16|Estrela do Indaiá|sigcon_emendas|||||NUNCA||
17|Heliodora|sigcon_emendas|||||NUNCA||
18|Ibitiúra de Minas|sigcon_emendas|||||NUNCA||
19|Igarapé|sigcon_emendas|||||NUNCA||
22|Itaguara|sigcon_emendas|||||NUNCA||
27|Nova Lima|sigcon_emendas|||||NUNCA||
30|Papagaios|sigcon_emendas|||||NUNCA||
31|Passa Tempo|sigcon_emendas|||||NUNCA||
34|Piracema|sigcon_emendas|||||NUNCA||
35|Santo Antônio do Monte|sigcon_emendas|||||NUNCA||
36|Senhora dos Remédios|sigcon_emendas|||||NUNCA||
40|São Tiago|sigcon_emendas|||||NUNCA||
41|Tocos do Moji|sigcon_emendas|||||NUNCA||
26|Moema|sigcon_emendas|08-29 06:32|0.7|0||bom|1|
21|Iguatama|sigcon_emendas|08-29 06:41|0.7|0||bom|1|
29|Oliveira Fortes|sigcon_emendas|08-29 08:33|0.6|0||bom|1|
32|Pequi|sigcon_emendas|08-29 08:36|0.6|0||bom|1|
33|Perdigão|sigcon_emendas|08-29 08:45|0.6|0||bom|1|
38|São Francisco de Paula|sigcon_emendas|08-29 10:28|0.5|0||bom|1|
39|São Sebastião do Oeste|sigcon_emendas|08-29 10:36|0.5|0||bom|1|
